강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 성산
기간 : 20190101~20210228

날짜,지점,강수량(mm)
2019-10-12,188,
2019-10-13,188,
2019-10-14,188,
2019-10-15,188,4.3
2019-10-16,188,
2019-10-17,188,
2019-10-18,188,18.8
2019-10-19,188,
2019-10-20,188,
2019-10-21,188,
2019-10-22,188,0.8
2019-10-23,188,0
2019-10-24,188,37.4
2019-10-25,188,
2019-10-26,188,
2019-10-27,188,
2019-10-28,188,
2019-10-29,188,
2019-10-30,188,
2019-10-31,188,
2019-11-01,188,
2019-11-02,188,
2019-11-03,188,
2019-11-04,188,2.8
2019-11-05,188,0.2
2019-11-06,188,
2019-11-07,188,
2019-11-08,188,
2019-11-09,188,
2019-11-10,188,3.1
2019-11-11,188,
2019-11-12,188,
2019-11-13,188,0.3
2019-11-14,188,
2019-11-15,188,
2019-11-16,188,
2019-11-17,188,0.9
2019-11-18,188,7.6
2019-11-19,188,
2019-11-20,188,
2019-11-21,188,
2019-11-22,188,
2019-11-23,188,
2019-11-24,188,12.4
2019-11-25,188,
2019-11-26,188,8.3
2019-11-27,188,0.3
2019-11-28,188,
2019-11-29,188,
2019-11-30,188,0.3
2019-12-01,188,25.7
2019-12-02,188,0.1
2019-12-03,188,
2019-12-04,188,
2019-12-05,188,0
2019-12-06,188,
2019-12-07,188,
2019-12-08,188,
2019-12-09,188,
2019-12-10,188,
2019-12-11,188,
2019-12-12,188,
2019-12-13,188,
2019-12-14,188,
2019-12-15,188,0
2019-12-16,188,0.1
2019-12-17,188,16
2019-12-18,188,
2019-12-19,188,
2019-12-20,188,
2019-12-21,188,
2019-12-22,188,13.6
2019-12-23,188,
2019-12-24,188,
2019-12-25,188,0.9
2019-12-26,188,13.6
2019-12-27,188,0.2
2019-12-28,188,
2019-12-29,188,33.1
2019-12-30,188,
2019-12-31,188,0.4
2020-01-01,188,
2020-01-02,188,
2020-01-03,188,
2020-01-04,188,
2020-01-05,188,
2020-01-06,188,0.4
2020-01-07,188,12.8
2020-01-08,188,0.6
2020-01-09,188,
2020-01-10,188,
2020-01-11,188,
2020-01-12,188,
2020-01-13,188,
2020-01-14,188,9.8
2020-01-15,188,0
2020-01-16,188,
2020-01-17,188,
2020-01-18,188,
2020-01-19,188,
2020-01-20,188,
2020-01-21,188,
2020-01-22,188,18.1
2020-01-23,188,
2020-01-24,188,
2020-01-25,188,5.2
2020-01-26,188,7.1
2020-01-27,188,39.7
2020-01-28,188,0.1
2020-01-29,188,0.5
2020-01-30,188,0.1
2020-01-31,188,
2020-02-01,188,
2020-02-02,188,
2020-02-03,188,
2020-02-04,188,
2020-02-05,188,0.2
2020-02-06,188,
2020-02-07,188,
2020-02-08,188,0.1
2020-02-09,188,
2020-02-10,188,
2020-02-11,188,0.7
2020-02-12,188,31.2
2020-02-13,188,
2020-02-14,188,
2020-02-15,188,0.5
2020-02-16,188,5.5
2020-02-17,188,10.8
2020-02-18,188,0.2
2020-02-19,188,
2020-02-20,188,
2020-02-21,188,3.7
2020-02-22,188,
2020-02-23,188,
2020-02-24,188,
