No,search,address,경도,위도,상태
69,마노르블랑,제주 서귀포시 안덕면 일주서로2100번길 46,126.2949888,33.25482625,정좌표
70,한담해안산책로,제주 제주시 애월읍 곽지리 1359   ,126.31059,33.45906075,정좌표
71,협재해수욕장,제주 제주시 한림읍 협재리 2497-1,126.2390388,33.39246099,정좌표
72,김녕해수욕장,제주 제주시 구좌읍 김녕리   ,126.7492707,33.53590888,인근좌표
73,표선해수욕장,제주 서귀포시 표선면 표선리   ,126.8276385,33.32403621,인근좌표
74,돌카롱제주공항점,제주 제주시 서광로2길 27-2   ,126.5136481,33.49852543,정좌표
75,하귀농협하나로프라자,제주 제주시 애월읍 일주서로 7020,126.4003717,33.4813038,정좌표
76,제주도립미술관,제주 제주시 1100로 2894-78,126.4896859,33.45255014,정좌표
77,카카오프렌즈제주점,제주특별자치도 제주시 첨단로 242,126.5704933,33.45068162,정좌표
78,981파크,제주 제주시 애월읍 천덕로 880-24,126.3662567,33.39079808,정좌표
79,산방산유채꽃밭,제주특별자치도 서귀포시 안덕면,126.3352247,33.282517,인근좌표
80,휴애리매화축제,제주 서귀포시 남원읍 신례동로 256   ,126.6392651,33.30793507,정좌표
81,송악산둘레길,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,126.2908855,33.20769131,정좌표
82,안돌오름,제주 제주시 구좌읍 송당리 산66-1,126.7618773,33.46095314,정좌표
83,천제연폭포,제주 서귀포시 천제연로 132 천제연폭포관리소   ,126.4183763,33.25267882,정좌표
84,봄날카페,제주 제주시 애월읍 애월로1길 25,126.3095767,33.46242135,정좌표
85,더클리프,제주 서귀포시 중문관광로 154-17   ,126.4147052,33.24425774,정좌표
86,백약이오름,제주 서귀포시 표선면 성읍리 산1   ,126.7902469,33.43721126,정좌표
87,금능해수욕장,제주 제주시 한림읍 금능리   ,126.2391268,33.37071521,인근좌표
88,원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141,126.3191923,33.23922624,정좌표
89,미쁜제과,제주특별자치도 서귀포시 대정읍 도원남로 16 미쁜제과,126.1801299,33.26913224,정좌표
90,금오름,제주 제주시 한림읍 금악리 산1-1,126.3056396,33.35567698,정좌표
91,엉덩물계곡,제주특별자치도 서귀포시 색달동 3384-4,126.4135927,33.247907,정좌표
92,제주유채꽃축제,제주 서귀포시 표선면 녹산로 381 가시리조랑말체험공원   ,126.736285,33.38309563,인근좌표
93,녹산로유채꽃도로,제주 서귀포시 표선면 가시리   ,126.7243425,33.38174272,인근좌표
94,제주절물자연휴양림,제주 제주시 명림로 584,126.6261034,33.4378998,정좌표
95,휴애리수국축제,제주특별자치도 서귀포시 남원읍 신례동로 256,126.6392651,33.30793507,정좌표
96,제주왕벚꽃축제장전리,제주 제주시 애월읍 장전리   ,126.3836926,33.44649249,인근좌표
97,조랑말체험공원,제주특별자치 서귀포시 표선면 녹산로 381-17   ,126.7361002,33.38286116,정좌표
98,유채꽃프라자,제주특별자치도 서귀포시 표선면 녹산로 464-65,126.7316714,33.39371349,정좌표
99,한라수목원,제주 제주시 수목원길 72,126.4932486,33.46959259,정좌표
100,삼성혈,제주 제주시 삼성로 22,126.5293436,33.50437879,정좌표
101,복돼지식당,제주특별자치도 서귀포시 표선면 서성일로 63,126.8021302,33.39734637,정좌표
102,테라로사서귀포점,제주특별자치도 서귀포시 칠십리로658번길 27-16,126.6187935,33.24946668,정좌표
103,랜디스도넛제주직영점,제주특별자치도 제주시 애월읍 애월로 27-1,126.311419,33.4611697,정좌표
104,은희네해장국,제주특별자치도 제주시 고마로13길 8,126.5407453,33.50853749,정좌표
105,일출랜드,제주 서귀포시 성산읍 중산간동로 4150-30,126.8409964,33.38370597,정좌표
106,신창풍차해안도로,제주 제주시 한경면 신창리 1481-23,126.1719928,33.34248485,정좌표
107,약천사,제주 서귀포시 이어도로 293-28   ,126.4490141,33.24499653,정좌표
108,윈드1947카트테마파크,제주 서귀포시 토평공단로 78-27,126.5888286,33.28951843,정좌표
109,신화테마파크,제주 서귀포시 안덕면 신화역사로304번길 98 신화테마파크,126.314351,33.30669689,정좌표
110,월척본점,제주특별자치도 제주시 동한두기길 42-1 1층,126.5150575,33.51576315,정좌표
111,월정리해변,제주 제주시 구좌읍 월정리 33-3,126.7986877,33.55509498,정좌표
112,혼인지,제주 서귀포시 성산읍 혼인지로 39-22 혼인지,126.8939612,33.41501792,정좌표
113,세화해수욕장,제주 제주시 구좌읍   ,126.8213259,33.49291378,인근좌표
114,하귀애월해안도로,제주특별자치도 제주시 애월읍 고내리 445-3,126.342501,33.47104249,정좌표
115,황우지해안,제주 서귀포시 서홍동 766-1   ,126.5498234,33.24156015,정좌표
116,선녀탕,제주 서귀포시 남성로 56,126.5465046,33.24101988,정좌표
117,뽀로로타요테마파크제주,제주특별자치도 서귀포시 안덕면 병악로 269,126.3703233,33.2996005,정좌표
118,수목원길야시장,제주 제주시 은수길 69,126.488218,33.47065313,정좌표
119,원앙폭포,제주 서귀포시 돈내코로 137,126.5819523,33.30050425,정좌표
120,제주레일바이크,제주 제주시 구좌읍 용눈이오름로 641,126.8366024,33.46431927,정좌표
121,늘봄흑돼지,제주특별자치도 제주시 한라대학로 12,126.4728358,33.47947123,정좌표
122,제주서부농업기술센터,제주특별자치도 제주시 한림읍 월림7길 90,126.2476944,33.3534616,정좌표
123,한라산둘레길사려니숲길,제주특별자치도 제주시 조천읍 교래리 산137-1,126.6425684,33.40769185,정좌표
124,아르떼뮤지엄,제주 제주시 애월읍 어림비로 478,126.3453771,33.39720301,정좌표
125,닭머르해안길,제주특별자치도 제주시 조천읍 신촌리 2318-2,126.6174264,33.536807,정좌표
126,서귀포향토오일시장,제주 서귀포시 중산간동로7894번길 18-5 국제창호,126.5724883,33.26688037,정좌표
127,바이나흐튼크리스마스박물관,제주 서귀포시 안덕면 평화로 654,126.3281572,33.29126409,정좌표
